guest_id,first_name,last_name,email,customer_type,origin_country,preferred_room_type,loyalty_member,registered_date,total_stays,average_rating
GUEST000001,Sophie,Smith,guest000001@email.com,Business,Spain,Penthouse,False,2024-08-02,3,3.8
GUEST000002,John,Zhang,guest000002@email.com,Couple,UK,Suite,True,2023-06-03,7,4.3
GUEST000003,Klaus,Martin,guest000003@email.com,Solo Travel,Netherlands,Standard,False,2024-02-25,9,3.7
GUEST000004,Francesca,Zhang,guest000004@email.com,Leisure,China,Suite,False,2023-12-20,3,4.7
GUEST000005,Francesca,Johnson,guest000005@email.com,Business,USA,Penthouse,False,2023-10-18,3,5.0
GUEST000006,Marco,Martin,guest000006@email.com,Couple,Spain,Deluxe,False,2023-09-23,6,3.9
GUEST000007,Ahmed,Brown,guest000007@email.com,Family,Spain,Suite,False,2022-03-27,1,4.1
GUEST000008,Klaus,Johnson,guest000008@email.com,Leisure,Belgium,Penthouse,False,2023-06-08,3,4.1
GUEST000009,Sophie,Mueller,guest000009@email.com,Couple,Italy,Penthouse,False,2023-07-04,7,4.0
GUEST000010,Yuki,Zhang,guest000010@email.com,Family,Germany,Family,False,2023-08-24,5,3.8
GUEST000011,Maria,Brown,guest000011@email.com,Leisure,Germany,Penthouse,False,2023-12-17,12,3.5
GUEST000012,Francesca,Garcia,guest000012@email.com,Family,Spain,Penthouse,False,2022-03-01,1,4.6
GUEST000013,Sophie,Johnson,guest000013@email.com,Couple,Netherlands,Standard,False,2024-08-04,2,4.5
GUEST000014,Francesca,Johnson,guest000014@email.com,Business,France,Family,False,2023-04-10,1,4.3
GUEST000015,Lucia,Weber,guest000015@email.com,Leisure,Greece,Family,True,2022-02-26,3,4.8
GUEST000016,Klaus,Mueller,guest000016@email.com,Business,Germany,Penthouse,False,2022-05-03,4,3.4
GUEST000017,John,Mueller,guest000017@email.com,Leisure,Italy,Penthouse,True,2023-12-20,2,5.0
GUEST000018,John,Mueller,guest000018@email.com,Family,Netherlands,Deluxe,True,2023-05-24,18,4.2
GUEST000019,Yuki,Martin,guest000019@email.com,Leisure,Belgium,Penthouse,False,2023-06-14,1,4.3
GUEST000020,Klaus,Mueller,guest000020@email.com,Family,UK,Standard,False,2023-01-16,1,3.9
GUEST000021,Ahmed,Brown,guest000021@email.com,Family,USA,Suite,False,2024-01-21,5,3.3
GUEST000022,Maria,Smith,guest000022@email.com,Leisure,China,Deluxe,True,2022-12-10,1,3.9
GUEST000023,Francesca,Brown,guest000023@email.com,Family,Germany,Family,False,2023-06-21,11,4.3
GUEST000024,Maria,Brown,guest000024@email.com,Couple,Germany,Family,True,2023-12-31,5,4.1
GUEST000025,Lucia,Johnson,guest000025@email.com,Leisure,Spain,Family,False,2023-05-24,1,5.0
GUEST000026,Emma,Martin,guest000026@email.com,Business,Belgium,Standard,True,2023-01-04,4,5.0
GUEST000027,John,Rossi,guest000027@email.com,Leisure,Germany,Suite,False,2024-05-29,1,5.0
GUEST000028,Lucia,Mueller,guest000028@email.com,Leisure,China,Suite,False,2023-01-12,6,4.0
GUEST000029,Ahmed,Brown,guest000029@email.com,Couple,Spain,Suite,False,2024-03-02,1,4.2
GUEST000030,Maria,Weber,guest000030@email.com,Family,France,Standard,False,2023-11-22,1,3.6
GUEST000031,Maria,Garcia,guest000031@email.com,Leisure,Germany,Standard,True,2024-01-29,2,3.7
GUEST000032,Marco,Smith,guest000032@email.com,Leisure,Netherlands,Deluxe,False,2022-02-15,1,4.1
GUEST000033,John,Garcia,guest000033@email.com,Family,Spain,Suite,True,2022-02-17,7,5.0
GUEST000034,Emma,Schmidt,guest000034@email.com,Family,Belgium,Deluxe,False,2023-01-28,9,4.9
GUEST000035,Ahmed,Mueller,guest000035@email.com,Family,France,Suite,False,2024-08-11,4,5.0
GUEST000036,John,Martin,guest000036@email.com,Couple,UK,Standard,True,2024-04-02,2,4.8
GUEST000037,Francesca,Garcia,guest000037@email.com,Family,Italy,Family,True,2022-11-26,7,3.7
GUEST000038,Sophie,Zhang,guest000038@email.com,Couple,Italy,Suite,True,2024-07-26,1,3.9
GUEST000039,Yuki,Brown,guest000039@email.com,Family,USA,Standard,False,2024-04-25,1,3.5
GUEST000040,Maria,Weber,guest000040@email.com,Leisure,Greece,Family,True,2023-01-17,10,4.0
GUEST000041,Maria,Martin,guest000041@email.com,Leisure,Spain,Family,False,2023-11-21,4,4.2
GUEST000042,John,Mueller,guest000042@email.com,Leisure,UK,Standard,False,2022-08-17,4,5.0
GUEST000043,Marco,Smith,guest000043@email.com,Leisure,Germany,Deluxe,False,2024-09-03,4,3.6
GUEST000044,Francesca,Johnson,guest000044@email.com,Leisure,USA,Standard,True,2024-06-17,4,3.4
GUEST000045,Emma,Brown,guest000045@email.com,Solo Travel,Italy,Deluxe,True,2024-03-03,11,4.4
GUEST000046,Klaus,Schmidt,guest000046@email.com,Leisure,China,Family,False,2022-03-30,3,4.1
GUEST000047,Marco,Rossi,guest000047@email.com,Leisure,France,Deluxe,True,2022-01-09,4,3.8
GUEST000048,Yuki,Garcia,guest000048@email.com,Couple,USA,Standard,False,2022-10-26,1,3.4
GUEST000049,Lucia,Brown,guest000049@email.com,Solo Travel,Netherlands,Suite,False,2024-01-28,2,5.0
GUEST000050,Lucia,Garcia,guest000050@email.com,Business,USA,Family,False,2023-04-21,9,3.9
GUEST000051,Yuki,Weber,guest000051@email.com,Leisure,China,Family,False,2024-09-22,3,4.5
GUEST000052,Emma,Garcia,guest000052@email.com,Couple,Spain,Family,False,2024-01-21,6,3.1
GUEST000053,Marco,Garcia,guest000053@email.com,Leisure,France,Deluxe,False,2022-06-04,1,3.6
GUEST000054,John,Zhang,guest000054@email.com,Business,USA,Standard,False,2022-01-25,1,4.5
GUEST000055,Sophie,Martin,guest000055@email.com,Business,USA,Deluxe,False,2022-12-21,1,4.3
GUEST000056,John,Schmidt,guest000056@email.com,Couple,Spain,Suite,False,2022-01-02,4,4.4
GUEST000057,Francesca,Brown,guest000057@email.com,Business,France,Deluxe,True,2022-04-17,4,3.9
GUEST000058,Sophie,Martin,guest000058@email.com,Couple,China,Deluxe,False,2022-09-01,12,5.0
GUEST000059,Francesca,Rossi,guest000059@email.com,Leisure,Germany,Deluxe,False,2024-09-11,7,4.0
GUEST000060,John,Mueller,guest000060@email.com,Solo Travel,France,Standard,False,2023-12-30,9,4.2
GUEST000061,Klaus,Johnson,guest000061@email.com,Couple,USA,Standard,True,2022-02-14,4,4.2
GUEST000062,Sophie,Martin,guest000062@email.com,Couple,Belgium,Penthouse,False,2023-02-27,5,4.4
GUEST000063,Yuki,Rossi,guest000063@email.com,Couple,China,Family,False,2024-09-24,5,4.6
GUEST000064,Maria,Weber,guest000064@email.com,Leisure,Greece,Standard,False,2022-04-08,3,4.5
GUEST000065,Marco,Mueller,guest000065@email.com,Family,USA,Suite,False,2023-10-15,2,3.9
GUEST000066,Francesca,Johnson,guest000066@email.com,Business,Netherlands,Suite,False,2023-08-30,4,3.5
GUEST000067,Lucia,Smith,guest000067@email.com,Family,Belgium,Suite,False,2023-03-22,10,4.2
GUEST000068,Ahmed,Garcia,guest000068@email.com,Business,France,Suite,False,2022-10-26,6,3.6
GUEST000069,Klaus,Schmidt,guest000069@email.com,Family,USA,Suite,True,2024-08-06,4,4.1
GUEST000070,Francesca,Schmidt,guest000070@email.com,Solo Travel,France,Penthouse,False,2022-11-22,1,4.4
GUEST000071,Emma,Brown,guest000071@email.com,Business,France,Penthouse,True,2022-08-28,2,4.3
GUEST000072,Maria,Garcia,guest000072@email.com,Leisure,France,Deluxe,False,2022-05-20,12,4.9
GUEST000073,Lucia,Johnson,guest000073@email.com,Couple,Italy,Family,True,2022-06-09,3,3.9
GUEST000074,Maria,Mueller,guest000074@email.com,Leisure,Netherlands,Family,False,2023-04-06,1,4.4
GUEST000075,Emma,Schmidt,guest000075@email.com,Couple,Spain,Penthouse,False,2023-02-21,10,4.8
GUEST000076,Maria,Martin,guest000076@email.com,Couple,Belgium,Deluxe,True,2023-01-02,3,4.4
GUEST000077,Sophie,Rossi,guest000077@email.com,Leisure,Netherlands,Standard,True,2022-11-12,5,4.6
GUEST000078,Emma,Brown,guest000078@email.com,Leisure,Netherlands,Standard,True,2024-05-22,3,3.9
GUEST000079,Maria,Johnson,guest000079@email.com,Leisure,Germany,Penthouse,True,2022-06-11,5,4.0
GUEST000080,Klaus,Weber,guest000080@email.com,Business,USA,Suite,False,2022-02-11,3,4.4
GUEST000081,Sophie,Schmidt,guest000081@email.com,Business,Belgium,Standard,False,2022-06-01,1,3.8
GUEST000082,Maria,Garcia,guest000082@email.com,Leisure,Italy,Standard,False,2024-09-18,15,5.0
GUEST000083,Yuki,Zhang,guest000083@email.com,Business,UK,Family,False,2023-06-10,3,4.0
GUEST000084,John,Brown,guest000084@email.com,Business,Greece,Family,True,2022-09-24,2,4.1
GUEST000085,Ahmed,Smith,guest000085@email.com,Business,Belgium,Family,False,2024-09-01,6,3.9
GUEST000086,Francesca,Rossi,guest000086@email.com,Family,Spain,Deluxe,False,2023-07-24,1,4.3
GUEST000087,Marco,Garcia,guest000087@email.com,Leisure,China,Deluxe,False,2022-04-07,4,5.0
GUEST000088,Emma,Johnson,guest000088@email.com,Leisure,Spain,Family,True,2024-04-03,10,4.4
GUEST000089,Ahmed,Johnson,guest000089@email.com,Family,Belgium,Deluxe,True,2022-01-13,2,3.8
GUEST000090,John,Garcia,guest000090@email.com,Family,France,Suite,False,2022-05-14,1,4.8
GUEST000091,Sophie,Zhang,guest000091@email.com,Leisure,Spain,Penthouse,False,2023-01-17,5,4.6
GUEST000092,Maria,Weber,guest000092@email.com,Business,China,Deluxe,False,2023-08-24,7,3.6
GUEST000093,Klaus,Johnson,guest000093@email.com,Family,China,Family,False,2022-01-23,1,3.7
GUEST000094,Maria,Garcia,guest000094@email.com,Leisure,USA,Deluxe,False,2024-07-13,3,3.8
GUEST000095,Emma,Mueller,guest000095@email.com,Leisure,France,Deluxe,False,2022-04-05,3,4.2
GUEST000096,Yuki,Johnson,guest000096@email.com,Solo Travel,USA,Family,True,2022-02-13,9,4.6
GUEST000097,Emma,Smith,guest000097@email.com,Business,Germany,Penthouse,False,2022-06-22,7,4.3
GUEST000098,Lucia,Zhang,guest000098@email.com,Couple,France,Standard,False,2024-04-21,1,4.4
GUEST000099,Francesca,Rossi,guest000099@email.com,Business,UK,Deluxe,False,2022-01-31,3,4.3
GUEST000100,Francesca,Zhang,guest000100@email.com,Leisure,Greece,Family,False,2022-06-26,1,4.6
GUEST000101,Yuki,Garcia,guest000101@email.com,Couple,France,Suite,False,2024-07-19,6,3.8
GUEST000102,Ahmed,Brown,guest000102@email.com,Leisure,France,Standard,True,2022-10-14,1,4.4
GUEST000103,Emma,Mueller,guest000103@email.com,Couple,France,Deluxe,True,2022-02-05,6,3.4
GUEST000104,Lucia,Weber,guest000104@email.com,Leisure,USA,Suite,True,2023-09-24,1,4.8
GUEST000105,Sophie,Brown,guest000105@email.com,Leisure,Germany,Penthouse,False,2023-05-26,2,3.6
GUEST000106,Francesca,Martin,guest000106@email.com,Business,UK,Family,False,2023-05-06,4,4.1
GUEST000107,John,Johnson,guest000107@email.com,Business,USA,Family,False,2022-10-14,3,2.9
GUEST000108,Francesca,Mueller,guest000108@email.com,Business,France,Penthouse,False,2023-03-06,3,4.7
GUEST000109,Sophie,Martin,guest000109@email.com,Leisure,Italy,Penthouse,False,2022-09-13,10,3.9
GUEST000110,Marco,Smith,guest000110@email.com,Leisure,China,Penthouse,False,2023-01-27,1,4.0
GUEST000111,Yuki,Rossi,guest000111@email.com,Leisure,Greece,Penthouse,True,2023-07-12,1,4.2
GUEST000112,Emma,Schmidt,guest000112@email.com,Business,USA,Family,True,2024-07-23,1,4.5
GUEST000113,Lucia,Martin,guest000113@email.com,Business,Germany,Family,True,2022-11-26,4,4.4
GUEST000114,Francesca,Brown,guest000114@email.com,Couple,Netherlands,Penthouse,False,2022-07-04,1,4.8
GUEST000115,John,Schmidt,guest000115@email.com,Business,Spain,Standard,False,2023-09-04,5,4.1
GUEST000116,Sophie,Smith,guest000116@email.com,Solo Travel,Spain,Penthouse,False,2024-07-06,3,4.0
GUEST000117,Klaus,Smith,guest000117@email.com,Leisure,China,Standard,False,2024-04-08,1,3.6
GUEST000118,Emma,Martin,guest000118@email.com,Family,Greece,Penthouse,True,2023-01-02,1,4.2
